Age,Attrition,DailyRate,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Income_Per_Year,Tenure_Ratio,Education_Income_Ratio,Distance_Per_Income,Years_Per_Promotion,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes
41,1,1102,1,2,1,2,94,3,2,4,5993,19479,8,11,3,1,0,8,0,1,6,4,0,5,665.8888888888889,0.6666666666666666,1997.6666666666667,0.0001668335001668335,6.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
49,0,279,8,1,2,3,61,2,2,2,5130,24907,1,23,4,4,1,10,3,3,10,7,1,7,466.3636363636364,0.9090909090909091,2565.0,0.0015591502631066068,5.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
37,1,1373,2,2,4,4,92,2,1,3,2090,2396,6,15,3,2,0,7,3,3,0,0,0,0,261.25,0.0,696.6666666666666,0.0009564801530368245,0.0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1
33,0,1392,3,4,5,4,56,3,1,3,2909,23159,1,11,3,3,0,8,3,3,8,7,3,0,323.22222222222223,0.8888888888888888,581.8,0.0010309278350515464,2.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
27,0,591,2,1,7,1,40,3,1,2,3468,16632,9,12,3,4,1,6,3,3,2,2,2,2,495.42857142857144,0.2857142857142857,1734.0,0.0005765350245027386,0.6666666666666666,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
32,0,1005,2,2,8,4,79,3,1,4,3068,11864,0,13,3,3,0,8,2,2,7,7,3,6,340.8888888888889,0.7777777777777778,1022.6666666666666,0.0006516780710329097,1.75,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
59,0,1324,3,3,10,3,81,4,1,1,2670,9964,4,20,4,1,3,12,3,2,1,0,0,0,205.3846153846154,0.07692307692307693,667.5,0.0011231748408835642,1.0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
30,0,1358,24,1,11,4,67,3,1,3,2693,13335,1,22,4,2,1,1,2,3,1,0,0,0,1346.5,0.5,1346.5,0.008908685968819599,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
38,0,216,23,3,12,4,44,2,3,3,9526,8787,0,21,4,2,0,10,2,3,9,7,1,8,866.0,0.8181818181818182,2381.5,0.0024141912459326124,4.5,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
36,0,1299,27,3,13,3,94,3,2,3,5237,16577,6,13,3,2,2,17,3,2,7,7,7,7,290.94444444444446,0.3888888888888889,1309.25,0.005154639175257732,0.875,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
